id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45096582,Etobicoke,47754626,Pat,,Thistletown-Beaumond Heights,43.73476,-79.55295,Entire home/apt,94,28,4,2021-10-27,0.20,1,216,2,
45268658,TWO STORY STUDIO LOFT,27560220,Maida,,Junction Area,43.6759,-79.47174,Entire home/apt,85,28,0,,,1,338,0,
45097309,Junction house,66589186,Nina,,Junction Area,43.66504,-79.45896,Entire home/apt,200,28,0,,,1,178,0,
45268684,Humber College- a large bedroom with double closet,272068817,Vladimir,,West Humber-Clairville,43.73685,-79.59285,Private room,25,4,56,2022-05-29,2.89,4,16,40,STR-2012-FZYXVD
45268875,Cozy + New Bachelor in the Heart of Toronto,220447972,Kelsi,,Little Portugal,43.65044,-79.43443,Entire home/apt,125,28,7,2022-03-13,0.36,1,30,3,
45101822,New suite in trendy Junction Triangle /U.P EXPRESS,9859739,Danielle,,Dufferin Grove,43.65517,-79.44638,Entire home/apt,119,2,8,2022-05-27,0.38,1,1,5,STR-2109-FLMHHB
44699017,Extra Large Deluxe King with Fireplace,68640936,Jane,,Annex,43.67389,-79.40193,Private room,329,999,0,,,4,199,0,STR-2009-GTQKPH
44699758,One bedroom + private bathroom in a 2bds 2baths,2676669,Geoffrey,,Waterfront Communities-The Island,43.64651,-79.39595,Private room,271,28,1,2022-03-30,0.44,1,179,1,
45273981,"Large, bright bedroom on top floor",265437617,Paul & Helen,,Broadview North,43.69537,-79.35289,Private room,55,30,0,,,3,287,0,
45102734,Trendy King West Executive Suite,8675040,Rich,,Waterfront Communities-The Island,43.64467,-79.40018,Entire home/apt,163,28,47,2020-12-27,2.19,2,0,0,
45274157,Cozy bedroom with skylight,265437617,Paul & Helen,,Broadview North,43.69512,-79.35471,Private room,45,30,0,,,3,307,0,
44741207,♥Fully-Equipped 1-BR Condo in DT Toronto♥,785826,Sky View,,Waterfront Communities-The Island,43.64459,-79.38976,Entire home/apt,247,30,0,,,151,29,0,
45275123,"Private Basement Apartment Downtown, Free Parking!",362850105,Meera,,Moss Park,43.65688766142924,-79.36678824411288,Entire home/apt,144,1,164,2022-06-01,7.87,1,15,132,STR-2010-GLLXPG
44787124,Maple Leaf Square Residences Designer Luxury Condo,65897626,Donata,,Waterfront Communities-The Island,43.64205,-79.37993,Entire home/apt,250,28,3,2021-12-15,0.25,2,0,3,STR-2011-FGVDVB
45103306,HUGE 2BR + 2 BATH + BALCONY ENTERTAINMENT DISTRICT,364237826,Maxim,,Bay Street Corridor,43.64998,-79.38126,Entire home/apt,223,1,83,2022-05-13,3.88,1,39,35,STR-2010-FMBDPC
45275436,Good condition,365852533,Maree,,Willowdale East,43.77036,-79.40756,Private room,56,3,9,2022-05-14,0.44,3,65,8,STR-2010-HGXRPJ
45104103,- HEART OF TORONTO,38885719,Tee,,Waterfront Communities-The Island,43.64111,-79.40107,Entire home/apt,90,28,0,,,2,0,0,
45104122,Condo Entier - Downtown Toronto,323610931,Jasmine,,Waterfront Communities-The Island,43.64052,-79.38302,Entire home/apt,450,28,1,2020-08-30,0.05,1,365,0,
44795547,(2 Beds & 1 Bath:Basement )1 Mins from subway Stan,362381864,Babu,,Clairlea-Birchmount,43.7,-79.29048,Entire home/apt,99,20,12,2022-05-12,0.57,1,43,9,STR-2012-FFDVHB
45275924,Good location,365852533,Maree,,Willowdale East,43.76901,-79.40702,Private room,55,2,6,2021-05-27,0.30,3,58,0,STR-2010-HGXRPJ
45283443,102-last min ok-subway-restaurants- all 5min walk,362817692,Bella,,Humewood-Cedarvale,43.69912,-79.43048,Private room,59,1,21,2022-05-15,0.99,5,1,16,STR-2101-HCKXVJ
45283797,104--5 min to subway- 2 min to shops and food,362817692,Bella,,Humewood-Cedarvale,43.69911,-79.42909,Private room,68,2,21,2022-05-07,1.02,5,2,16,STR-2101-HCKXVJ
